trial_id,sign_name,time_ms,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
1,testssssssss,2089.0,856,638,1052,625,227,-0.0257,0.011,0.9988,-0.476,0.673,0.09
1,testssssssss,2102.0,1095,1292,984,833,353,-0.0279,0.0181,0.9971,-0.209,0.703,0.059
1,testssssssss,2115.0,1099,493,692,898,339,-0.0276,0.0139,1.0044,-0.552,0.497,0.082
1,testssssssss,2128.0,731,826,1118,695,285,-0.0184,0.0137,1.0032,-0.522,0.543,0.159
1,testssssssss,2141.0,571,822,1079,257,951,-0.0232,0.0171,0.9988,-0.514,0.65,0.136
1,testssssssss,2154.0,938,469,894,387,662,-0.022,0.0154,0.9978,-0.69,0.711,-0.002
1,testssssssss,2167.0,440,399,784,298,1116,-0.0181,0.0134,0.9964,-0.552,0.634,0.082
1,testssssssss,2180.0,874,619,530,399,414,-0.0198,0.0122,0.9939,-0.438,0.535,0.044
1,testssssssss,2193.0,395,579,345,1106,584,-0.0215,0.0171,0.993,-0.163,0.711,-0.04
1,testssssssss,2206.0,390,1058,428,310,721,-0.0205,0.0112,1.0017,-0.652,0.627,0.075
1,testssssssss,2219.0,1058,879,1087,757,1245,-0.021,0.0159,1.0032,-0.415,0.581,0.067
1,testssssssss,2232.0,1050,902,489,633,950,-0.0198,0.0168,0.9988,-0.476,0.642,0.036
1,testssssssss,2245.0,367,1138,1031,648,922,-0.021,0.0176,1.002,-0.621,0.734,0.12
1,testssssssss,2258.0,857,929,1254,445,599,-0.0184,0.0103,1.0039,-0.552,0.657,0.052
1,testssssssss,2271.0,641,799,609,1267,1071,-0.0154,0.0132,1.0037,-0.72,0.466,0.097
1,testssssssss,2284.0,1212,242,1105,938,1280,-0.0208,0.0124,1.0071,-0.484,0.619,0.159
1,testssssssss,2297.0,422,1085,463,1220,587,-0.0227,0.0129,1.0017,-0.384,0.665,0.036
1,testssssssss,2310.0,967,796,815,455,1261,-0.023,0.0146,1.0042,-0.377,0.512,0.082
1,testssssssss,2323.0,365,550,1051,1298,1065,-0.0208,0.0164,1.002,-0.445,0.589,0.059
1,testssssssss,2336.0,553,333,848,558,1062,-0.0186,0.0161,1.0017,-0.69,0.543,0.067
1,testssssssss,2349.0,363,641,1248,306,1151,-0.0186,0.0088,0.9978,-0.636,0.505,0.052
1,testssssssss,2362.0,626,486,882,919,1053,-0.0186,0.0129,0.9978,-0.491,0.55,0.136
1,testssssssss,2375.0,928,1211,1066,1162,897,-0.0235,0.0129,0.9993,-0.758,0.65,0.052
1,testssssssss,2388.0,599,261,946,499,1070,-0.0257,0.0112,1.0056,-0.293,0.566,0.075
1,testssssssss,2401.0,997,1120,1206,1226,907,-0.0249,0.0161,1.0076,-0.14,0.627,-0.009
1,testssssssss,2414.0,753,1171,391,698,401,-0.0262,0.0156,1.0027,-0.59,0.909,0.082
1,testssssssss,2427.0,575,831,1279,530,869,-0.0213,0.0144,0.9849,-0.896,0.528,0.075
1,testssssssss,2440.0,602,935,579,1179,1080,-0.0174,0.0127,0.9937,-0.529,0.405,0.075
1,testssssssss,2453.0,421,510,286,619,890,-0.0196,0.0198,1.0017,0.196,0.665,0.006
1,testssssssss,2466.0,782,653,1008,658,823,-0.0184,0.0151,1.0035,-0.644,0.802,0.097
1,testssssssss,2479.0,1204,1082,311,447,431,-0.0249,0.0127,1.0027,-0.697,0.497,0.082
1,testssssssss,2492.0,202,200,878,1170,1088,-0.0208,0.0098,1.0047,-0.506,0.398,0.029
1,testssssssss,2505.0,873,839,1121,331,1159,-0.0196,0.0154,0.9925,-0.461,0.894,0.128
1,testssssssss,2518.0,265,209,1170,402,417,-0.0235,0.0107,0.9988,-0.613,0.505,0.006
1,testssssssss,2531.0,1088,1018,833,889,1067,-0.0203,0.0137,0.9998,-0.361,0.52,-0.032
