time,ax,ay,az,gx,gy,gz
3353.0,0.9692,-0.009,0.1913,1.203,2.069,0.395
3366.0,0.9668,-0.0107,0.2016,1.127,2.321,0.525
3379.0,0.9692,-0.0123,0.2024,0.982,2.115,0.311
3392.0,0.9668,-0.0084,0.2055,0.761,2.215,0.372
3405.0,0.9688,-0.007,0.1991,0.623,2.268,0.342
3418.0,0.9679,-0.0053,0.1985,0.257,2.856,0.655
3431.0,0.9674,-0.0103,0.2052,-0.705,3.085,0.899
3444.0,0.967,-0.0151,0.2126,-0.957,3.039,0.723
3457.0,0.9691,-0.0157,0.217,-0.354,3.047,0.571
3470.0,0.9669,-0.0161,0.2168,0.921,2.65,0.388
3483.0,0.9724,-0.0175,0.2211,1.776,1.856,0.143
3496.0,0.9681,-0.0118,0.2108,2.112,1.367,0.143
3509.0,0.9716,-0.0053,0.2011,1.99,1.482,0.189
3522.0,0.9721,-0.0177,0.2084,1.31,1.81,0.258
3535.0,0.9677,-0.0148,0.206,1.142,1.886,0.013
3548.0,0.9647,-0.0137,0.2101,0.654,2.161,-0.055
3561.0,0.9668,-0.0076,0.2062,1.28,1.993,-0.009
3574.0,0.9686,-0.0071,0.2008,0.646,2.047,0.281
3587.0,0.966,-0.0107,0.2099,0.127,1.978,0.578
3600.0,0.9685,-0.0157,0.2091,0.402,1.871,0.8
3613.0,0.972,-0.025,0.2094,1.295,1.642,0.403
3626.0,0.9735,-0.0256,0.2056,1.234,1.688,-0.078
3639.0,0.973,-0.0209,0.2019,1.501,1.795,-0.338
3652.0,0.9686,-0.0187,0.1977,0.738,2.268,-0.391
3665.0,0.9709,-0.0181,0.2096,-0.438,2.589,-0.521
3678.0,0.9677,-0.0126,0.2078,0.104,2.428,-0.841
3691.0,0.9652,-0.0072,0.213,-0.041,2.55,-0.75
3704.0,0.9653,-0.0044,0.2135,-0.316,2.436,-0.643
3717.0,0.9635,0.0017,0.2206,-0.636,2.36,-0.322
3730.0,0.963,-0.0022,0.2231,0.074,2.153,0.128
3743.0,0.9653,-0.0126,0.2201,1.219,1.321,0.281
