Time(ms),ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
4601,0.0332,0.0295,0.9834,0.616,1.680,-0.093
4614,0.0373,0.0310,0.9825,0.509,1.825,-0.147
4627,0.0422,0.0247,0.9825,0.738,1.863,-0.154
4640,0.0358,0.0276,0.9844,0.577,1.818,-0.063
4653,0.0336,0.0308,0.9795,0.646,1.741,-0.071
4666,0.0380,0.0339,0.9825,0.600,1.718,0.013
4679,0.0380,0.0327,0.9822,0.677,1.703,-0.055
4692,0.0312,0.0278,0.9790,0.631,1.917,-0.063
4705,0.0400,0.0300,0.9834,0.745,1.673,-0.078
4718,0.0378,0.0312,0.9886,0.646,2.031,0.006
4731,0.0371,0.0359,0.9764,0.524,1.818,-0.017
4744,0.0383,0.0308,0.9871,0.723,1.886,0.151
4757,0.0354,0.0374,0.9851,0.593,1.787,0.075
4770,0.0312,0.0310,0.9803,0.661,1.856,0.128
4783,0.0346,0.0288,0.9883,0.661,1.825,-0.055
4796,0.0363,0.0347,0.9798,0.585,1.665,-0.101
4809,0.0351,0.0261,0.9949,0.532,1.947,0.013
4822,0.0327,0.0239,0.9842,0.646,1.611,-0.139
4835,0.0339,0.0295,0.9844,0.684,1.726,0.044
4848,0.0356,0.0264,0.9783,0.486,1.779,-0.032
4861,0.0390,0.0315,0.9829,0.509,1.711,-0.124
4874,0.0388,0.0293,0.9834,0.799,1.665,0.113
4887,0.0383,0.0337,0.9837,0.593,1.963,-0.040
4900,0.0398,0.0283,0.9837,0.669,1.764,-0.009
4913,0.0400,0.0283,0.9856,0.700,1.810,0.052
4926,0.0427,0.0364,0.9771,0.555,1.695,-0.071
4939,0.0371,0.0291,0.9837,0.875,1.863,-0.017
4952,0.0390,0.0332,0.9807,0.799,1.688,-0.078
4965,0.0368,0.0229,0.9785,0.890,1.718,0.013
4978,0.0373,0.0300,0.9810,0.745,1.772,0.105
4991,0.0297,0.0271,0.9820,0.516,1.810,-0.124
5004,0.0349,0.0271,0.9837,0.448,1.734,-0.040
5017,0.0415,0.0278,0.9761,0.509,1.802,-0.086
5030,0.0405,0.0293,0.9761,0.570,1.902,0.059
5043,0.0395,0.0359,0.9739,0.593,1.535,-0.032
5056,0.0405,0.0261,0.9834,0.715,1.604,0.113
5069,0.0405,0.0337,0.9910,0.455,1.787,-0.055
5082,0.0395,0.0273,0.9820,0.799,1.818,0.006
5095,0.0385,0.0271,0.9930,0.616,1.825,-0.093
5108,0.0380,0.0244,0.9793,0.776,1.764,0.036
5121,0.0322,0.0247,0.9812,0.738,1.940,-0.009
5134,0.0336,0.0281,0.9812,0.684,2.054,-0.032
5147,0.0446,0.0303,0.9873,0.814,1.940,-0.216
5160,0.0380,0.0339,0.9798,0.723,1.757,0.067
5173,0.0339,0.0271,0.9788,0.463,1.802,0.075
5186,0.0422,0.0305,0.9800,0.677,1.833,-0.109
5199,0.0329,0.0225,0.9798,0.745,1.909,-0.147
5212,0.0368,0.0286,0.9822,0.654,1.886,-0.002
5225,0.0363,0.0327,0.9849,0.799,1.795,-0.223
5238,0.0351,0.0288,0.9793,0.761,1.703,-0.009
5251,0.0395,0.0310,0.9834,0.669,1.940,-0.009
5264,0.0344,0.0286,0.9915,0.600,1.474,0.082
5277,0.0461,0.0320,0.9839,0.738,1.848,0.166
5290,0.0344,0.0322,0.9778,0.593,1.863,0.181
5303,0.0395,0.0286,0.9834,0.723,1.764,0.097
5316,0.0358,0.0276,0.9842,0.600,1.886,-0.315
5329,0.0361,0.0259,0.9785,0.913,1.986,-0.139
5342,0.0385,0.0295,0.9790,0.707,1.963,-0.093
5355,0.0346,0.0217,0.9847,0.791,1.932,-0.170
5368,0.0393,0.0271,0.9766,0.600,1.909,-0.269
5381,0.0393,0.0403,0.9878,0.608,1.749,-0.109
5394,0.0354,0.0247,0.9778,0.730,1.802,-0.040
5407,0.0376,0.0283,0.9829,0.646,1.779,0.044
5420,0.0363,0.0308,0.9937,0.547,1.879,0.036
5433,0.0324,0.0283,0.9795,0.524,1.924,0.029
5446,0.0293,0.0371,0.9746,0.822,1.749,0.082
5459,0.0358,0.0305,0.9781,0.654,1.741,-0.216
5472,0.0349,0.0330,0.9871,0.661,1.986,-0.132
5485,0.0400,0.0317,0.9847,0.837,1.772,-0.055
5498,0.0422,0.0293,0.9751,0.738,1.642,-0.063
5511,0.0358,0.0256,0.9834,0.807,1.779,-0.032
5524,0.0407,0.0312,0.9776,0.448,1.764,-0.086
5537,0.0339,0.0300,0.9795,0.715,1.970,-0.025
5550,0.0378,0.0220,0.9829,0.860,1.940,-0.055
5563,0.0366,0.0339,0.9876,0.684,1.589,-0.071
5576,0.0339,0.0249,0.9764,0.707,1.711,-0.040
5589,0.0300,0.0300,0.9825,0.730,1.833,-0.284
5602,0.0402,0.0276,0.9873,0.585,1.764,0.021
5615,0.0378,0.0291,0.9727,0.631,1.634,-0.063
5628,0.0329,0.0334,0.9778,0.562,1.810,0.097
5641,0.0410,0.0298,0.9837,0.646,1.787,0.128
5654,0.0376,0.0273,0.9771,0.738,1.909,-0.009
5667,0.0349,0.0271,0.9790,0.639,1.726,0.159
5680,0.0400,0.0229,0.9854,0.852,1.978,0.090
5693,0.0358,0.0374,0.9847,0.807,1.741,-0.032
5706,0.0349,0.0312,0.9724,0.623,1.741,0.143
5719,0.0344,0.0266,0.9815,0.692,1.688,-0.055
5732,0.0334,0.0310,0.9851,0.631,1.932,-0.032
5745,0.0344,0.0286,0.9847,0.669,1.757,-0.017
5758,0.0346,0.0325,0.9820,0.608,1.665,0.052
5771,0.0378,0.0225,0.9771,0.723,1.848,0.159
5784,0.0354,0.0300,0.9834,0.768,1.909,0.113
5797,0.0415,0.0339,0.9829,0.700,1.810,-0.101
5810,0.0378,0.0229,0.9695,0.776,1.604,0.067
5823,0.0380,0.0337,0.9773,0.868,1.718,-0.292
5836,0.0354,0.0366,0.9888,0.616,1.550,-0.032
5849,0.0253,0.0291,0.9812,0.745,2.161,-0.078
5862,-0.0423,0.0369,1.0567,1.150,0.673,0.044
5875,-0.0186,-0.0359,1.2173,2.318,4.291,-1.002
5888,0.0070,0.1765,0.9778,1.852,-2.984,-0.567
5901,0.1118,-0.0027,0.7801,2.081,2.108,0.349
5914,0.0065,-0.0317,1.0948,2.158,-0.358,-0.674
5927,0.2021,-0.0127,0.6116,0.348,7.375,-0.750
5940,0.0925,-0.0378,0.6936,1.677,5.398,-0.361
5953,-0.0096,0.0356,1.1167,0.623,2.024,-0.254
5966,-0.0303,0.0486,1.1387,1.295,-1.488,-0.292
5979,0.0522,0.0581,0.9302,0.585,-0.702,-0.002
5992,0.0263,0.0278,1.0235,0.471,0.726,0.212
6005,0.0534,0.0134,0.9544,0.982,2.382,-0.101
6018,0.0524,0.0308,0.9197,0.768,1.955,0.258
6031,0.0366,0.0286,1.0127,0.585,2.573,-0.025
6044,0.0234,0.0269,1.0113,0.768,2.344,-0.109
6057,0.0339,0.0342,0.9817,0.654,1.329,0.013
6070,0.0437,0.0308,0.9580,0.700,1.092,-0.101
6083,0.0432,0.0227,0.9688,0.684,1.802,-0.170
6096,0.0361,0.0229,0.9739,0.875,2.184,-0.162
6109,0.0380,0.0342,0.9754,0.494,1.924,-0.063
6122,0.0334,0.0286,0.9888,0.501,1.573,0.090
6135,0.0356,0.0276,0.9866,0.837,1.550,-0.002
6148,0.0366,0.0251,0.9849,0.532,1.405,-0.063
6161,0.0358,0.0278,0.9751,0.570,1.619,0.029
6174,0.0466,0.0271,0.9717,0.577,1.978,-0.002
