trial_id,sign_name,time_ms,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
1,UUUII,1804.0,606,597,547,1273,550,0.0639,-0.2263,0.9663,-0.942,0.26,0.197
1,UUUII,1817.0,489,537,331,1071,238,0.0708,-0.2244,0.9683,-0.926,0.176,0.189
1,UUUII,1830.0,1153,792,1032,612,854,0.0673,-0.228,0.9622,-0.85,0.047,0.227
1,UUUII,1843.0,1006,1079,578,758,638,0.0705,-0.2302,0.9656,-0.758,0.245,0.319
1,UUUII,1856.0,556,867,332,1109,1191,0.0769,-0.2288,0.9624,-0.484,0.153,0.281
1,UUUII,1869.0,420,706,226,273,1124,0.0727,-0.2329,0.9617,-0.461,0.36,0.296
1,UUUII,1882.0,937,563,1140,1273,1157,0.0766,-0.2346,0.9593,-0.499,0.421,0.174
1,UUUII,1895.0,390,1124,519,642,976,0.0715,-0.2317,0.959,-0.491,0.512,0.212
1,UUUII,1908.0,1096,1064,1067,550,403,0.0727,-0.2361,0.9619,-0.499,0.543,0.067
1,UUUII,1921.0,1268,587,848,1174,629,0.0717,-0.2385,0.961,-0.552,0.825,0.021
1,UUUII,1934.0,987,653,746,844,260,0.0688,-0.2327,0.9673,-0.514,0.947,-0.2
1,UUUII,1947.0,413,422,1200,901,1037,0.069,-0.2251,0.9661,-0.491,1.016,-0.345
1,UUUII,1960.0,269,480,1135,253,501,0.0669,-0.2295,0.9615,-0.453,1.077,-0.452
1,UUUII,1973.0,1019,687,562,650,263,0.0671,-0.2219,0.9673,-0.415,1.024,-0.513
1,UUUII,1986.0,994,576,1130,998,757,0.0654,-0.2227,0.9666,-0.354,0.932,-0.422
1,UUUII,1999.0,1008,1035,896,1131,1096,0.0615,-0.2163,0.9644,-0.339,1.008,-0.391
1,UUUII,2012.0,912,1022,1169,289,978,0.0644,-0.2163,0.9651,-0.537,0.917,-0.353
1,UUUII,2025.0,555,538,928,1037,1256,0.0603,-0.2188,0.9754,-0.789,0.627,-0.238
1,UUUII,2038.0,880,900,499,663,1105,0.0637,-0.2156,0.9676,-0.735,0.573,0.036
1,UUUII,2051.0,356,312,931,829,573,0.061,-0.2224,0.9617,-0.881,0.466,0.151
1,UUUII,2064.0,986,442,986,604,792,0.0637,-0.2239,0.9683,-0.842,0.344,0.288
1,UUUII,2077.0,1259,334,603,798,997,0.0634,-0.2278,0.961,-0.995,0.329,0.357
1,UUUII,2090.0,1186,1052,587,483,1072,0.0671,-0.23,0.9685,-0.728,0.329,0.296
1,UUUII,2103.0,205,484,550,903,326,0.0644,-0.2273,0.9715,-0.529,0.543,0.281
1,UUUII,2116.0,674,961,1254,696,1215,0.0688,-0.2329,0.9678,-0.506,0.52,0.296
1,UUUII,2129.0,566,1253,756,956,1232,0.0649,-0.2336,0.9688,-0.583,0.421,0.075
1,UUUII,2142.0,1038,861,1160,1242,1170,0.0676,-0.2329,0.9639,-0.522,0.444,-0.009
1,UUUII,2155.0,617,835,1154,1052,547,0.0671,-0.2285,0.9605,-0.682,0.497,-0.078
1,UUUII,2168.0,296,955,817,874,672,0.0683,-0.2307,0.9649,-0.842,0.665,-0.238
1,UUUII,2181.0,237,683,505,1035,478,0.0705,-0.2319,0.9661,-0.911,0.573,-0.185
1,UUUII,2194.0,482,887,786,495,1174,0.0717,-0.23,0.9678,-0.881,0.55,-0.216
1,UUUII,2207.0,996,409,1230,379,614,0.0693,-0.2305,0.9612,-0.774,0.55,-0.2
1,UUUII,2220.0,648,897,412,882,819,0.0698,-0.2253,0.9619,-0.453,0.688,-0.17
1,UUUII,2233.0,630,1063,780,513,770,0.0656,-0.2302,0.96,-0.629,0.573,-0.048
1,UUUII,2246.0,1087,614,738,200,819,0.0676,-0.2246,0.9641,-0.514,0.627,0.174
1,UUUII,2259.0,963,803,663,843,1270,0.0673,-0.2231,0.9632,-0.529,0.55,0.204
1,UUUII,2272.0,635,1252,930,251,1196,0.0669,-0.228,0.9627,-0.491,0.566,0.151
