Time(ms),ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,roll_deg,pitch_deg,yaw_deg
315339,-0.1333,0.5030,0.8710,0.328,0.275,0.069,29.939,7.662,108.150
315352,-0.1365,0.5018,0.8779,0.229,0.473,0.053,29.808,7.685,108.136
315365,-0.1367,0.5067,0.8762,0.267,0.389,-0.183,29.946,7.695,108.154
315378,-0.1436,0.5025,0.8806,0.122,0.519,-0.099,29.868,7.826,108.146
315391,-0.1375,0.5045,0.8808,0.534,0.511,-0.046,29.804,7.711,108.139
315404,-0.1350,0.5059,0.8754,0.160,0.435,0.214,29.932,7.654,108.161
315417,-0.1438,0.5118,0.8776,0.107,0.557,-0.092,30.020,7.770,108.175
315430,-0.1365,0.5062,0.8757,0.405,0.595,0.084,30.042,7.629,108.182
315443,-0.1431,0.5040,0.8730,0.130,0.366,0.046,30.029,7.780,108.183
315456,-0.1421,0.5010,0.8801,0.534,0.435,0.176,29.914,7.852,108.171
315469,-0.1414,0.4998,0.8715,0.053,0.298,0.092,29.848,7.987,108.165
315482,-0.1389,0.4988,0.8730,0.405,0.427,-0.008,29.764,7.887,108.155
315495,-0.1360,0.5025,0.8757,0.198,0.481,0.160,29.822,7.753,108.168
315508,-0.1443,0.5040,0.8781,0.359,0.573,0.031,29.840,7.906,108.174
315521,-0.1445,0.5013,0.8745,0.298,0.618,-0.130,29.835,8.062,108.175
315534,-0.1360,0.4996,0.8730,0.267,0.290,0.145,29.817,7.919,108.175
315547,-0.1428,0.5023,0.8779,0.252,0.672,-0.008,29.771,8.067,108.173
315560,-0.1443,0.4974,0.8788,0.443,0.427,-0.252,29.644,8.106,108.154
315573,-0.1389,0.4966,0.8813,0.374,0.695,-0.061,29.560,8.008,108.145
315586,-0.1414,0.5040,0.8737,0.221,0.435,-0.053,29.699,8.004,108.166
315599,-0.1421,0.5025,0.8771,0.336,0.443,0.038,29.838,8.005,108.188
315612,-0.1316,0.5067,0.8781,0.122,0.550,0.008,29.875,7.866,108.197
315625,-0.1428,0.4991,0.8705,0.458,0.496,0.023,29.851,8.018,108.196
315638,-0.1411,0.4981,0.8796,0.145,0.565,-0.038,29.722,7.996,108.181
315651,-0.1394,0.5059,0.8845,0.229,0.595,-0.137,29.759,7.859,108.188
315664,-0.1399,0.5081,0.8754,0.305,0.588,-0.099,29.898,7.870,108.209
315677,-0.1472,0.5069,0.8757,0.221,0.626,0.015,29.956,8.009,108.221
315690,-0.1306,0.5010,0.8730,0.282,0.412,-0.069,29.935,7.870,108.220
315703,-0.1416,0.5064,0.8774,0.229,0.420,-0.168,30.015,7.993,108.231
315716,-0.1387,0.4991,0.8813,0.260,0.489,-0.008,29.895,7.949,108.217
315729,-0.1431,0.5049,0.8703,0.168,0.489,0.008,30.011,8.026,108.236
315742,-0.1350,0.5025,0.8808,0.366,0.641,-0.046,29.937,7.919,108.229
315755,-0.1416,0.5005,0.8769,0.160,0.427,-0.015,29.808,7.963,108.213
315768,-0.1455,0.5071,0.8781,0.611,0.656,0.061,29.913,8.068,108.232
315781,-0.1360,0.5035,0.8713,-0.046,0.511,-0.099,29.955,7.931,108.240
315794,-0.1362,0.4986,0.8737,0.565,0.481,-0.076,29.861,7.845,108.228
315807,-0.1436,0.5018,0.8847,0.298,0.466,-0.084,29.745,7.926,108.214
315820,-0.1362,0.5005,0.8810,0.725,0.603,-0.092,29.689,7.809,108.207
315833,-0.1406,0.5062,0.8818,0.168,0.534,-0.130,29.816,7.865,108.226
315846,-0.1353,0.5108,0.8737,0.435,0.542,0.137,29.947,7.806,108.249
315859,-0.1418,0.5030,0.8737,0.130,0.504,-0.168,29.935,7.961,108.248
315872,-0.1443,0.5118,0.8766,0.298,0.595,-0.023,30.065,8.015,108.269
315885,-0.1438,0.4991,0.8862,0.389,0.458,0.053,29.936,8.027,108.254
315898,-0.1394,0.5035,0.8830,0.183,0.511,0.000,29.837,7.942,108.243
315911,-0.1433,0.5018,0.8718,0.458,0.618,0.084,29.909,8.074,108.257
315924,-0.1455,0.5071,0.8788,0.397,0.649,-0.023,30.007,8.183,108.274
315937,-0.1362,0.5089,0.8764,0.267,0.466,0.130,30.047,8.043,108.284
315950,-0.1445,0.5049,0.8818,0.076,0.550,0.000,29.915,8.077,108.269
315963,-0.1360,0.4988,0.8796,0.511,0.672,-0.038,29.833,7.980,108.260
315976,-0.1379,0.5081,0.8801,0.573,0.496,0.031,29.923,7.863,108.275
315989,-0.1387,0.5013,0.8769,0.031,0.519,0.153,29.795,7.833,108.263
316002,-0.1353,0.5030,0.8801,0.099,0.466,-0.008,29.769,7.695,108.262
